date,city,pm25_mean,pm10_mean,aqi_max
2025-10-12,Toronto,8.174999999999999,8.816666666666666,40
2025-10-13,Toronto,7.145833333333333,7.3999999999999995,34
2025-10-14,Toronto,9.516666666666667,9.745833333333334,38
2025-10-15,Toronto,15.200000000000001,15.325000000000001,56
2025-10-16,Toronto,17.758333333333333,18.041666666666668,70
2025-10-17,Toronto,9.3125,10.433333333333334,62
2025-10-18,Toronto,13.741666666666667,15.541666666666666,58
2025-10-19,Toronto,5.204166666666667,5.791666666666667,54
2025-10-20,Toronto,14.283333333333333,15.970833333333333,54
2025-10-21,Toronto,13.641666666666666,15.195833333333333,57
2025-10-22,Toronto,14.120833333333332,14.508333333333333,56
2025-10-23,Toronto,9.858333333333333,11.129166666666668,55
2025-10-24,Toronto,8.066666666666666,8.612499999999999,41
2025-10-25,Toronto,3.1374999999999997,3.475,34
2025-10-26,Toronto,4.220833333333333,5.0874999999999995,35
2025-10-27,Toronto,7.920833333333333,9.195833333333333,32
2025-10-28,Toronto,6.445833333333333,6.9375,34
2025-10-29,Toronto,14.625,16.454166666666666,53
2025-10-30,Toronto,23.179166666666664,24.22083333333333,86
2025-10-31,Toronto,12.3375,12.629166666666668,74
2025-11-01,Toronto,7.108333333333333,7.483333333333333,51
2025-11-02,Toronto,8.516666666666667,10.174999999999999,35
2025-11-03,Toronto,10.2875,11.404166666666667,41
2025-11-04,Toronto,9.125,9.616666666666667,50
2025-11-05,Toronto,4.991666666666666,5.329166666666667,38
2025-11-06,Toronto,3.4875000000000003,4.366666666666666,32
2025-11-07,Toronto,7.991666666666667,10.733333333333334,37
2025-11-08,Toronto,11.866666666666667,13.487499999999999,54
2025-11-09,Toronto,9.991666666666667,10.612499999999999,49
2025-11-10,Toronto,9.558333333333334,10.233333333333333,50
2025-11-11,Toronto,12.6875,14.133333333333333,51
2025-11-12,Toronto,13.6875,13.983333333333334,53
2025-11-13,Toronto,11.870833333333332,12.129166666666668,58
2025-11-14,Toronto,18.25,19.554166666666667,63
2025-11-15,Toronto,13.316666666666668,14.233333333333334,63
2025-11-16,Toronto,11.691666666666668,11.950000000000001,53
2025-11-17,Toronto,6.9125000000000005,7.666666666666667,49
2025-11-18,Toronto,10.558333333333334,11.983333333333334,43
2025-11-19,Toronto,8.545833333333333,8.720833333333333,46
2025-11-20,Toronto,10.766666666666666,11.158333333333333,43
2025-11-21,Toronto,13.608333333333334,14.8375,55
2025-11-22,Toronto,6.758333333333334,7.233333333333333,53
2025-11-23,Toronto,6.416666666666667,6.9875,28
2025-11-24,Toronto,8.704166666666667,9.745833333333334,38
2025-11-25,Toronto,6.420833333333333,7.279166666666666,38
2025-11-26,Toronto,15.166666666666666,16.05,56
2025-11-27,Toronto,8.35,8.604166666666666,59
2025-11-28,Toronto,5.595833333333334,5.804166666666667,35
2025-11-29,Toronto,9.904166666666667,10.5375,41
2025-11-30,Toronto,10.445833333333333,11.054166666666667,43
2025-12-01,Toronto,20.412499999999998,21.333333333333332,68
2025-12-02,Toronto,18.933333333333334,19.1875,69
2025-12-03,Toronto,9.6,9.725,65
2025-12-04,Toronto,19.804166666666667,20.116666666666667,65
2025-12-05,Toronto,15.25,15.575000000000001,76
2025-12-06,Toronto,6.125,7.129166666666666,57
2025-12-07,Toronto,6.5375000000000005,7.679166666666667,28
2025-12-08,Toronto,4.2,4.8500000000000005,28
2025-12-09,Toronto,10.0375,12.483333333333334,42
2025-12-10,Toronto,7.716666666666666,7.966666666666666,42
2025-12-11,Toronto,10.833333333333334,11.8125,43
2025-12-12,Toronto,15.258333333333333,16.283333333333335,58
2025-12-13,Toronto,12.145833333333334,12.491666666666667,57
2025-12-14,Toronto,12.0375,12.295833333333334,53
2025-12-15,Toronto,4.208333333333333,4.745833333333334,50
2025-12-16,Toronto,2.8625000000000003,3.375,34
2025-12-17,Toronto,2.7125,3.595833333333333,38
2025-12-18,Toronto,2.2958333333333334,2.7083333333333335,31
2025-12-19,Toronto,4.825,5.654166666666666,39
2025-12-20,Toronto,2.858333333333333,3.3541666666666665,32
2025-12-21,Toronto,3.454166666666667,3.7916666666666665,29
2025-12-22,Toronto,4.375,5.270833333333333,34
2025-12-23,Toronto,6.779166666666666,8.320833333333333,34
2025-12-24,Toronto,7.483333333333333,8.541666666666666,34
2025-12-25,Toronto,7.254166666666666,7.55,37
2025-12-26,Toronto,6.1625000000000005,6.758333333333333,30
2025-12-27,Toronto,6.1375,6.5375000000000005,29
2025-12-28,Toronto,11.845833333333333,12.791666666666666,49
2025-12-29,Toronto,15.520833333333334,15.9125,57
2025-12-30,Toronto,9.950000000000001,10.1,57
2025-12-31,Toronto,14.166666666666666,14.408333333333333,54
2024-01-01,Vancouver,9.070833333333333,13.174999999999999,40
2024-01-02,Vancouver,5.654166666666666,8.2875,38
2024-01-03,Vancouver,6.2749999999999995,9.225,26
2024-01-04,Vancouver,5.016666666666667,7.516666666666667,27
2024-01-05,Vancouver,3.841666666666667,6.1375,26
2024-01-06,Vancouver,5.3999999999999995,8.220833333333333,27
2024-01-07,Vancouver,9.345833333333333,13.791666666666666,40
2024-01-08,Vancouver,5.491666666666667,8.145833333333334,39
2024-01-09,Vancouver,3.1291666666666664,5.125,35
2024-01-10,Vancouver,7.345833333333334,10.891666666666666,30
2024-01-11,Vancouver,3.0666666666666664,4.483333333333333,34
2024-01-12,Vancouver,2.3583333333333334,3.3708333333333336,35
2024-01-13,Vancouver,4.270833333333333,6.091666666666666,32
2024-01-14,Vancouver,6.408333333333334,9.270833333333334,27
2024-01-15,Vancouver,9.987499999999999,14.362499999999999,41
2024-01-16,Vancouver,10.729166666666666,15.487499999999999,46
2024-01-17,Vancouver,6.045833333333333,8.799999999999999,45
2024-01-18,Vancouver,3.4333333333333336,4.9125000000000005,29
2024-01-19,Vancouver,4.2625,6.145833333333333,30
2024-01-20,Vancouver,13.450000000000001,19.995833333333334,52
2024-01-21,Vancouver,8.633333333333335,12.737499999999999,57
2024-01-22,Vancouver,8.4125,12.070833333333333,36
2024-01-23,Vancouver,9.520833333333334,13.779166666666667,44
2024-01-24,Vancouver,6.0249999999999995,8.858333333333333,40
2024-01-25,Vancouver,6.995833333333334,10.475,29
2024-01-26,Vancouver,6.533333333333334,9.458333333333334,29
2024-01-27,Vancouver,6.75,9.6625,28
2024-01-28,Vancouver,6.429166666666667,9.1625,28
2024-01-29,Vancouver,7.991666666666667,11.487499999999999,32
2024-01-30,Vancouver,9.641666666666667,14.375,45
2024-01-31,Vancouver,5.366666666666667,7.7124999999999995,40
2024-02-01,Vancouver,6.0375000000000005,8.775,26
2024-02-02,Vancouver,7.133333333333333,10.5375,28
2024-02-03,Vancouver,8.941666666666666,13.225,39
2024-02-04,Vancouver,5.754166666666666,8.420833333333333,37
2024-02-05,Vancouver,5.595833333333334,8.095833333333333,31
2024-02-06,Vancouver,10.220833333333333,14.75,42
2024-02-07,Vancouver,10.7875,15.516666666666666,47
2024-02-08,Vancouver,11.929166666666667,17.304166666666667,51
2024-02-09,Vancouver,12.308333333333332,17.95,50
2024-02-10,Vancouver,16.275000000000002,24.275000000000002,60
2024-02-11,Vancouver,8.466666666666667,12.275,59
2024-02-12,Vancouver,6.05,8.674999999999999,35
2024-02-13,Vancouver,6.779166666666666,9.808333333333334,31
2024-02-14,Vancouver,3.170833333333333,4.704166666666667,36
2024-02-15,Vancouver,4.779166666666667,7.058333333333334,35
2024-02-16,Vancouver,6.745833333333334,9.975,35
2024-02-17,Vancouver,10.5,15.3375,43
2024-02-18,Vancouver,14.512500000000001,21.40833333333333,55
2024-02-19,Vancouver,13.120833333333332,19.3,57
2024-02-20,Vancouver,11.9125,17.625,52
2024-02-21,Vancouver,8.75,12.875,50
2024-02-22,Vancouver,10.075000000000001,14.745833333333332,41
2024-02-23,Vancouver,9.883333333333333,14.783333333333333,44
2024-02-24,Vancouver,4.133333333333334,6.004166666666666,41
2024-02-25,Vancouver,2.4499999999999997,3.9875000000000003,38
2024-02-26,Vancouver,6.116666666666667,9.829166666666667,41
2024-02-27,Vancouver,7.433333333333334,11.670833333333334,36
2024-02-28,Vancouver,2.9250000000000003,4.404166666666667,31
2024-02-29,Vancouver,3.2375000000000003,5.05,36
2024-03-01,Vancouver,3.6041666666666665,5.7124999999999995,36
2024-03-02,Vancouver,5.529166666666666,8.7875,39
2024-03-03,Vancouver,5.654166666666666,9.35,36
2024-03-04,Vancouver,7.241666666666667,10.829166666666666,37
2024-03-05,Vancouver,9.895833333333334,14.691666666666668,41
2024-03-06,Vancouver,14.112499999999999,20.962500000000002,54
2024-03-07,Vancouver,14.424999999999999,21.45,56
2024-03-08,Vancouver,13.8375,21.287499999999998,56
2024-03-09,Vancouver,8.241666666666667,12.837499999999999,54
2024-03-10,Vancouver,4.0,6.3125,37
2024-03-11,Vancouver,3.466666666666667,5.508333333333333,30
2024-03-12,Vancouver,4.7124999999999995,7.2250000000000005,38
2024-03-13,Vancouver,10.625,17.304166666666667,43
2024-03-14,Vancouver,14.804166666666667,24.633333333333336,56
2024-03-15,Vancouver,15.387500000000001,23.954166666666666,58
2024-03-16,Vancouver,15.4375,23.650000000000002,58
2024-03-17,Vancouver,16.099999999999998,23.52916666666667,59
2024-03-18,Vancouver,9.170833333333333,13.233333333333334,59
2024-03-19,Vancouver,12.387500000000001,17.904166666666665,50
2024-03-20,Vancouver,15.079166666666666,22.870833333333334,59
2024-03-21,Vancouver,18.462500000000002,28.3875,65
2024-03-22,Vancouver,12.695833333333333,18.816666666666666,64
2024-03-23,Vancouver,11.0375,16.0125,51
2024-03-24,Vancouver,10.404166666666667,14.995833333333332,48
2024-03-25,Vancouver,10.491666666666667,15.370833333333332,48
2024-03-26,Vancouver,7.329166666666667,11.083333333333334,44
2024-03-27,Vancouver,5.866666666666667,8.954166666666667,39
2024-03-28,Vancouver,4.254166666666666,6.641666666666667,39
2024-03-29,Vancouver,5.020833333333333,7.616666666666667,37
2024-03-30,Vancouver,8.450000000000001,13.216666666666667,37
2024-03-31,Vancouver,14.104166666666666,21.3875,54
2024-04-01,Vancouver,17.2,25.433333333333334,61
2024-04-02,Vancouver,9.2125,13.545833333333334,62
2024-04-03,Vancouver,5.916666666666667,9.833333333333334,42
2024-04-04,Vancouver,7.354166666666667,11.495833333333332,42
2024-04-05,Vancouver,8.408333333333333,13.108333333333334,41
2024-04-06,Vancouver,14.116666666666667,22.133333333333336,55
2024-04-07,Vancouver,4.6125,6.733333333333333,55
2024-04-08,Vancouver,5.541666666666667,8.654166666666667,30
2024-04-09,Vancouver,5.320833333333334,8.433333333333334,43
2024-04-10,Vancouver,14.966666666666667,24.53333333333333,56
2024-04-11,Vancouver,15.908333333333333,24.65833333333333,61
2024-04-12,Vancouver,8.125,11.783333333333333,58
2024-04-13,Vancouver,10.729166666666666,16.0125,43
2024-04-14,Vancouver,13.325000000000001,19.575,55
2024-04-15,Vancouver,7.883333333333333,12.35,53
2024-04-16,Vancouver,5.491666666666667,8.179166666666667,39
2024-04-17,Vancouver,9.4125,13.941666666666668,39
2024-04-18,Vancouver,9.020833333333334,13.0875,46
2024-04-19,Vancouver,9.979166666666666,14.558333333333332,48
2024-04-20,Vancouver,9.566666666666666,14.045833333333334,46
2024-04-21,Vancouver,4.891666666666667,8.1625,40
2024-04-22,Vancouver,8.208333333333334,12.895833333333334,41
2024-04-23,Vancouver,11.170833333333333,17.745833333333334,45
2024-04-24,Vancouver,10.579166666666667,15.833333333333334,54
2024-04-25,Vancouver,7.716666666666668,11.3125,45
2024-04-26,Vancouver,6.304166666666667,9.225,32
2024-04-27,Vancouver,5.1499999999999995,7.666666666666667,33
2024-04-28,Vancouver,4.2,6.404166666666666,38
2024-04-29,Vancouver,6.4375,10.525,40
2024-04-30,Vancouver,7.220833333333332,11.308333333333332,38
2024-05-01,Vancouver,8.508333333333333,13.3375,37
2024-05-02,Vancouver,10.229166666666666,15.8375,42
2024-05-03,Vancouver,17.308333333333334,26.429166666666664,61
2024-05-04,Vancouver,17.004166666666666,25.974999999999998,64
2024-05-05,Vancouver,13.549999999999999,20.216666666666665,65
2024-05-06,Vancouver,3.2458333333333336,5.016666666666667,53
2024-05-07,Vancouver,4.5375000000000005,6.745833333333334,37
2024-05-08,Vancouver,11.191666666666668,17.474999999999998,46
2024-05-09,Vancouver,11.6875,17.5625,49
2024-05-10,Vancouver,15.791666666666666,23.554166666666664,63
2024-05-11,Vancouver,22.224999999999998,32.57083333333333,111
2024-05-12,Vancouver,13.395833333333334,19.645833333333332,72
2024-05-13,Vancouver,12.470833333333333,18.7375,53
2024-05-14,Vancouver,17.05,25.55,60
2024-05-15,Vancouver,14.441666666666668,21.566666666666666,62
2024-05-16,Vancouver,3.375,4.933333333333334,55
2024-05-17,Vancouver,4.616666666666666,7.004166666666666,38
2024-05-18,Vancouver,6.979166666666667,11.133333333333333,37
2024-05-19,Vancouver,8.275,12.616666666666667,39
2024-05-20,Vancouver,10.033333333333333,14.887500000000001,44
2024-05-21,Vancouver,4.504166666666666,6.491666666666667,42
2024-05-22,Vancouver,6.3875,9.608333333333333,40
2024-05-23,Vancouver,8.987499999999999,13.875,40
2024-05-24,Vancouver,8.9125,13.454166666666666,37
2024-05-25,Vancouver,6.3,9.291666666666666,39
2024-05-26,Vancouver,6.429166666666667,9.670833333333333,31
2024-05-27,Vancouver,13.15,21.266666666666666,51
2024-05-28,Vancouver,12.058333333333332,18.283333333333335,62
2024-05-29,Vancouver,4.2625,6.55,50
2024-05-30,Vancouver,6.7875000000000005,10.441666666666666,37
2024-05-31,Vancouver,17.133333333333333,25.883333333333336,60
